Contract,Author_Position,Original_Contract_Title,English_Title,Scopus,Web_of_Science,Rubles,,,,,,,,,,,,,,,
3,3,Аддитивные технологии в производстве кондитерских изделий  от геометрии к новым органолептическим качествам,Additive technologies in the production of confectionery from geometry to new organoleptic qualities,Q2,TRUE,73800,,,,,,,,,,,,,,,
4,1,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий,A formic algorithm as an optimization tool in a multifactor analysis of the environmental consequences of introducing new technologies,FALSE,TRUE,90200,,,,,,,,,,,,,,,
4,2,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий,A formic algorithm as an optimization tool in a multifactor analysis of the environmental consequences of introducing new technologies,FALSE,TRUE,82000,,,,,,,,,,,,,,,
4,3,Муравьиный алгоритм как инструмент оптимизации в многофакторном анализе экологических последствий внедрения новых технологий,A formic algorithm as an optimization tool in a multifactor analysis of the environmental consequences of introducing new technologies,FALSE,TRUE,73800,,,,,,,,,,,,,,,
5,1,Особенности  учета материальных потоков для эффективного управления цепями поставок,Features of accounting material flows for efficient supply chain management,Q3Q4,FALSE,57400,,,,,,,,,,,,,,,
5,2,Особенности  учета материальных потоков для эффективного управления цепями поставок,Features of accounting material flows for efficient supply chain management,Q3Q4,FALSE,49200,,,,,,,,,,,,,,,
5,3,Особенности  учета материальных потоков для эффективного управления цепями поставок,Features of accounting material flows for efficient supply chain management,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
6,1,Устойчивое управления цепочками поставок и динамические возможности в агрокультурном производстве,Sustainable supply chain management and dynamic capabilities in agricultural production,Q3Q4,FALSE,57400,,,,,,,,,,,,,,,
6,2,Устойчивое управления цепочками поставок и динамические возможности в агрокультурном производстве,Sustainable supply chain management and dynamic capabilities in agricultural production,Q3Q4,FALSE,49200,,,,,,,,,,,,,,,
6,3,Устойчивое управления цепочками поставок и динамические возможности в агрокультурном производстве,Sustainable supply chain management and dynamic capabilities in agricultural production,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
7,1,Конкурентное преимущество использования информационных технологий в управлении цепочками поставок,Competitive advantage of using information technologies in supply chain management,Q3Q4,FALSE,57400,,,,,,,,,,,,,,,
7,2,Конкурентное преимущество использования информационных технологий в управлении цепочками поставок,Competitive advantage of using information technologies in supply chain management,Q3Q4,FALSE,49200,,,,,,,,,,,,,,,
7,3,Конкурентное преимущество использования информационных технологий в управлении цепочками поставок,Competitive advantage of using information technologies in supply chain management,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
8,1,Роль управление цепочкой поставок для двухуровневого торгового кредитного финансирования,Role of supply chain management for two-level trade credit financing,Q3Q4,FALSE,57400,,,,,,,,,,,,,,,
8,2,Роль управление цепочкой поставок для двухуровневого торгового кредитного финансирования,Role of supply chain management for two-level trade credit financing,Q3Q4,FALSE,49200,,,,,,,,,,,,,,,
8,3,Роль управление цепочкой поставок для двухуровневого торгового кредитного финансирования,Role of supply chain management for two-level trade credit financing,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
9,1,Возможности и барьеры гибкого управления цепочкой поставок в транснациональных корпорациях,Features and barriers of flexible supply chain management in transnational corporations,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
9,2,Возможности и барьеры гибкого управления цепочкой поставок в транснациональных корпорациях,Features and barriers of flexible supply chain management in transnational corporations,Q3Q4,FALSE,37720,,,,,,,,,,,,,,,
9,3,Возможности и барьеры гибкого управления цепочкой поставок в транснациональных корпорациях,Features and barriers of flexible supply chain management in transnational corporations,Q3Q4,FALSE,36080,,,,,,,,,,,,,,,
9,4,Возможности и барьеры гибкого управления цепочкой поставок в транснациональных корпорациях,Features and barriers of flexible supply chain management in transnational corporations,Q3Q4,FALSE,32800,,,,,,,,,,,,,,,
10,1,Использование гибких методов управления цепочками поставок в агрокультурном бизнесе,Using flexible supply chain management techniques in agricultural business,Q3Q4,FALSE,41000,,,,,,,,,,,,,,,
10,2,Использование гибких методов управления цепочками поставок в агрокультурном бизнесе,Using flexible supply chain management techniques in agricultural business,Q3Q4,FALSE,37720,,,,,,,,,,,,,,,
10,3,Использование гибких методов управления цепочками поставок в агрокультурном бизнесе,Using flexible supply chain management techniques in agricultural business,Q3Q4,FALSE,36080,,,,,,,,,,,,,,,
10,4,Использование гибких методов управления цепочками поставок в агрокультурном бизнесе,Using flexible supply chain management techniques in agricultural business,Q3Q4,FALSE,32800,,,,,,,,,,,,,,,
11,1,Управление цепочкой поставок продуктов пищевой промышленности комплексная иерархическая структура принятия решений,Food Industry Product Supply Chain Management Complex Hierarchical Decision Decision Structure,Q3Q4,FALSE,37720,,,,,,,,,,,,,,,
11,2,Управление цепочкой поставок продуктов пищевой промышленности комплексная иерархическая структура принятия решений,Food Industry Product Supply Chain Management Complex Hierarchical Decision Decision Structure,Q3Q4,FALSE,33620,,,,,,,,,,,,,,,
11,3,Управление цепочкой поставок продуктов пищевой промышленности комплексная иерархическая структура принятия решений,Food Industry Product Supply Chain Management Complex Hierarchical Decision Decision Structure,Q3Q4,FALSE,29520,,,,,,,,,,,,,,,
11,4,Управление цепочкой поставок продуктов пищевой промышленности комплексная иерархическая структура принятия решений,Food Industry Product Supply Chain Management Complex Hierarchical Decision Decision Structure,Q3Q4,FALSE,25420,,,,,,,,,,,,,,,
11,5,Управление цепочкой поставок продуктов пищевой промышленности комплексная иерархическая структура принятия решений,Food Industry Product Supply Chain Management Complex Hierarchical Decision Decision Structure,Q3Q4,FALSE,21320,,,,,,,,,,,,,,,
12,1,Электронная коммерция в управлении цепями поставок внедрение и перспективы в легкой промышленности,Email commerce in supply chain management Implementation and perspectives in light industry,Q3Q4,FALSE,37720,,,,,,,,,,,,,,,
12,2,Электронная коммерция в управлении цепями поставок внедрение и перспективы в легкой промышленности,Email commerce in supply chain management Implementation and perspectives in light industry,Q3Q4,FALSE,33620,,,,,,,,,,,,,,,
12,3,Электронная коммерция в управлении цепями поставок внедрение и перспективы в легкой промышленности,Email commerce in supply chain management Implementation and perspectives in light industry,Q3Q4,FALSE,29520,,,,,,,,,,,,,,,
12,4,Электронная коммерция в управлении цепями поставок внедрение и перспективы в легкой промышленности,Email commerce in supply chain management Implementation and perspectives in light industry,Q3Q4,FALSE,25420,,,,,,,,,,,,,,,
12,5,Электронная коммерция в управлении цепями поставок внедрение и перспективы в легкой промышленности,Email commerce in supply chain management Implementation and perspectives in light industry,Q3Q4,FALSE,21320,,,,,,,,,,,,,,,
13,1,Образование будущих предпринимателей в развивающихся странах интеграция традиций и инноваций,Education of future entrepreneurs in developing countries Integration of traditions and innovation,Q3,FALSE,57400,,,,,,,,,,,,,,,
13,2,Образование будущих предпринимателей в развивающихся странах интеграция традиций и инноваций,Education of future entrepreneurs in developing countries Integration of traditions and innovation,Q3,FALSE,49200,,,,,,,,,,,,,,,
13,3,Образование будущих предпринимателей в развивающихся странах интеграция традиций и инноваций,Education of future entrepreneurs in developing countries Integration of traditions and innovation,Q3,FALSE,41000,,,,,,,,,,,,,,,
13,4,Образование будущих предпринимателей в развивающихся странах интеграция традиций и инноваций,Education of future entrepreneurs in developing countries Integration of traditions and innovation,Q3,FALSE,32800,,,,,,,,,,,,,,,
13,5,Образование будущих предпринимателей в развивающихся странах интеграция традиций и инноваций,Education of future entrepreneurs in developing countries Integration of traditions and innovation,Q3,FALSE,24600,,,,,,,,,,,,,,,
14,1,"Роль предпринимательского образования в изучении  стратегии управления информационными системами на предприятии
 The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise",The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise,Q3,FALSE,77900,,,,,,,,,,,,,,,
14,2,"Роль предпринимательского образования в изучении  стратегии управления информационными системами на предприятии
 The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise",The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise,Q3,FALSE,67650,,,,,,,,,,,,,,,
14,3,"Роль предпринимательского образования в изучении  стратегии управления информационными системами на предприятии
 The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise",The Role of Entrepreneurial Education in Learning Information Systems Management Strategy in an Enterprise,Q3,FALSE,59450,,,,,,,,,,,,,,,
15,1,Тенденции интеграции технологических стартапов в образовательный процесс будущих предпринимателей,Trends in the integration of technological startups in the educational process of future entrepreneurs,Q3,FALSE,57400,,,,,,,,,,,,,,,
15,2,Тенденции интеграции технологических стартапов в образовательный процесс будущих предпринимателей,Trends in the integration of technological startups in the educational process of future entrepreneurs,Q3,FALSE,49200,,,,,,,,,,,,,,,
15,3,Тенденции интеграции технологических стартапов в образовательный процесс будущих предпринимателей,Trends in the integration of technological startups in the educational process of future entrepreneurs,Q3,FALSE,41000,,,,,,,,,,,,,,,
16,1,Опыт внедрения  реального обучения в предпринимательское образование,Experience in implementing real education in entrepreneurial education,Q3,FALSE,37720,,,,,,,,,,,,,,,
16,2,Опыт внедрения  реального обучения в предпринимательское образование,Experience in implementing real education in entrepreneurial education,Q3,FALSE,33620,,,,,,,,,,,,,,,
16,3,Опыт внедрения  реального обучения в предпринимательское образование,Experience in implementing real education in entrepreneurial education,Q3,FALSE,29520,,,,,,,,,,,,,,,
16,4,Опыт внедрения  реального обучения в предпринимательское образование,Experience in implementing real education in entrepreneurial education,Q3,FALSE,25420,,,,,,,,,,,,,,,
16,5,Опыт внедрения  реального обучения в предпринимательское образование,Experience in implementing real education in entrepreneurial education,Q3,FALSE,21320,,,,,,,,,,,,,,,
17,1,Обсуждение ключевых концепций в современном предпринимательском образовании,Discussion of key concepts in modern entrepreneurial education,Q3,FALSE,41000,,,,,,,,,,,,,,,
17,2,Обсуждение ключевых концепций в современном предпринимательском образовании,Discussion of key concepts in modern entrepreneurial education,Q3,FALSE,37720,,,,,,,,,,,,,,,
17,3,Обсуждение ключевых концепций в современном предпринимательском образовании,Discussion of key concepts in modern entrepreneurial education,Q3,FALSE,36080,,,,,,,,,,,,,,,
17,4,Обсуждение ключевых концепций в современном предпринимательском образовании,Discussion of key concepts in modern entrepreneurial education,Q3,FALSE,32800,,,,,,,,,,,,,,,
18,1,Проектное обучение как инструмент формирования и развития предпринимательских  навыков студентов,Design learning as a tool for the formation and development of entrepreneurial skills of students,Q3,FALSE,41000,,,,,,,,,,,,,,,
18,2,Проектное обучение как инструмент формирования и развития предпринимательских  навыков студентов,Design learning as a tool for the formation and development of entrepreneurial skills of students,Q3,FALSE,37720,,,,,,,,,,,,,,,
18,3,Проектное обучение как инструмент формирования и развития предпринимательских  навыков студентов,Design learning as a tool for the formation and development of entrepreneurial skills of students,Q3,FALSE,36080,,,,,,,,,,,,,,,
18,4,Проектное обучение как инструмент формирования и развития предпринимательских  навыков студентов,Design learning as a tool for the formation and development of entrepreneurial skills of students,Q3,FALSE,32800,,,,,,,,,,,,,,,
19,1,Роль рыночных информационных услуг в принятии управленческих решений пример переходных экономик,The role of market information services in making management decisions An example of transitional economies,Q3,FALSE,37720,,,,,,,,,,,,,,,
19,2,Роль рыночных информационных услуг в принятии управленческих решений пример переходных экономик,The role of market information services in making management decisions An example of transitional economies,Q3,FALSE,33620,,,,,,,,,,,,,,,
19,3,Роль рыночных информационных услуг в принятии управленческих решений пример переходных экономик,The role of market information services in making management decisions An example of transitional economies,Q3,FALSE,29520,,,,,,,,,,,,,,,
19,4,Роль рыночных информационных услуг в принятии управленческих решений пример переходных экономик,The role of market information services in making management decisions An example of transitional economies,Q3,FALSE,25420,,,,,,,,,,,,,,,
19,5,Роль рыночных информационных услуг в принятии управленческих решений пример переходных экономик,The role of market information services in making management decisions An example of transitional economies,Q3,FALSE,21320,,,,,,,,,,,,,,,
20,1,Модель обучения на основе реального проекта в  предпринимательском образовании,Learning model based on a real project in entrepreneurial education,Q3,FALSE,37720,,,,,,,,,,,,,,,
20,2,Модель обучения на основе реального проекта в  предпринимательском образовании,Learning model based on a real project in entrepreneurial education,Q3,FALSE,33620,,,,,,,,,,,,,,,
20,3,Модель обучения на основе реального проекта в  предпринимательском образовании,Learning model based on a real project in entrepreneurial education,Q3,FALSE,29520,,,,,,,,,,,,,,,
20,4,Модель обучения на основе реального проекта в  предпринимательском образовании,Learning model based on a real project in entrepreneurial education,Q3,FALSE,25420,,,,,,,,,,,,,,,
20,5,Модель обучения на основе реального проекта в  предпринимательском образовании,Learning model based on a real project in entrepreneurial education,Q3,FALSE,21320,,,,,,,,,,,,,,,
21,1,Рыночный аспект в маркетинговой деятельности коммерческих организаций,Market aspect in marketing activities of commercial organizations,Q4,FALSE,57400,,,,,,,,,,,,,,,
21,2,Рыночный аспект в маркетинговой деятельности коммерческих организаций,Market aspect in marketing activities of commercial organizations,Q4,FALSE,49200,,,,,,,,,,,,,,,
21,3,Рыночный аспект в маркетинговой деятельности коммерческих организаций,Market aspect in marketing activities of commercial organizations,Q4,FALSE,41000,,,,,,,,,,,,,,,
22,1,Технологичность учебного процесса в высшей школе и новые образовательные технологии  текущее состояние и тенденции развития,Technological education process in higher education and new educational technologies Current state and development trends,Q2,FALSE,90200,,,,,,,,,,,,,,,
22,2,Технологичность учебного процесса в высшей школе и новые образовательные технологии  текущее состояние и тенденции развития,Technological education process in higher education and new educational technologies Current state and development trends,Q2,FALSE,82000,,,,,,,,,,,,,,,
22,3,Технологичность учебного процесса в высшей школе и новые образовательные технологии  текущее состояние и тенденции развития,Technological education process in higher education and new educational technologies Current state and development trends,Q2,FALSE,73800,,,,,,,,,,,,,,,
23,1,Создание оптимальной среды для дистанционного обучения применение теории лидерства в образовательном менеджменте,Creating an optimal medium for distance learning Application of leadership theory in educational management,Q2,FALSE,90200,,,,,,,,,,,,,,,
23,2,Создание оптимальной среды для дистанционного обучения применение теории лидерства в образовательном менеджменте,Creating an optimal medium for distance learning Application of leadership theory in educational management,Q2,FALSE,82000,,,,,,,,,,,,,,,
23,3,Создание оптимальной среды для дистанционного обучения применение теории лидерства в образовательном менеджменте,Creating an optimal medium for distance learning Application of leadership theory in educational management,Q2,FALSE,73800,,,,,,,,,,,,,,,
24,1,Электронное обучение в развивающихся странах современные направления менеджмента в образовании,E-learning in developing countries Modern management areas in education,Q2,FALSE,57400,,,,,,,,,,,,,,,
24,2,Электронное обучение в развивающихся странах современные направления менеджмента в образовании,E-learning in developing countries Modern management areas in education,Q2,FALSE,53300,,,,,,,,,,,,,,,
24,3,Электронное обучение в развивающихся странах современные направления менеджмента в образовании,E-learning in developing countries Modern management areas in education,Q2,FALSE,49200,,,,,,,,,,,,,,,
24,4,Электронное обучение в развивающихся странах современные направления менеджмента в образовании,E-learning in developing countries Modern management areas in education,Q2,FALSE,45100,,,,,,,,,,,,,,,
24,5,Электронное обучение в развивающихся странах современные направления менеджмента в образовании,E-learning in developing countries Modern management areas in education,Q2,FALSE,41000,,,,,,,,,,,,,,,
25,1,Влияние мотивации и поощрения на показатели эффективности человеческих ресурсов в образовательных организациях,The impact of motivation and promotion on indicators of human resource efficiency in educational organizations,Q2,FALSE,57400,,,,,,,,,,,,,,,
25,2,Влияние мотивации и поощрения на показатели эффективности человеческих ресурсов в образовательных организациях,The impact of motivation and promotion on indicators of human resource efficiency in educational organizations,Q2,FALSE,53300,,,,,,,,,,,,,,,
25,3,Влияние мотивации и поощрения на показатели эффективности человеческих ресурсов в образовательных организациях,The impact of motivation and promotion on indicators of human resource efficiency in educational organizations,Q2,FALSE,49200,,,,,,,,,,,,,,,
25,4,Влияние мотивации и поощрения на показатели эффективности человеческих ресурсов в образовательных организациях,The impact of motivation and promotion on indicators of human resource efficiency in educational organizations,Q2,FALSE,45100,,,,,,,,,,,,,,,
25,5,Влияние мотивации и поощрения на показатели эффективности человеческих ресурсов в образовательных организациях,The impact of motivation and promotion on indicators of human resource efficiency in educational organizations,Q2,FALSE,41000,,,,,,,,,,,,,,,
26,1,Современные технологии дистанционного обучения в STEMобразовании,Modern remote learning technologies in the Stamp formation,Q2,FALSE,90200,,,,,,,,,,,,,,,
26,2,Современные технологии дистанционного обучения в STEMобразовании,Modern remote learning technologies in the Stamp formation,Q2,FALSE,82000,,,,,,,,,,,,,,,
26,3,Современные технологии дистанционного обучения в STEMобразовании,Modern remote learning technologies in the Stamp formation,Q2,FALSE,73800,,,,,,,,,,,,,,,
27,1,Использование видеороликов и исследовательских SMART проектов для изучения математики,Using videos and research SMART projects for learning mathematics,Q2,FALSE,90200,,,,,,,,,,,,,,,
27,2,Использование видеороликов и исследовательских SMART проектов для изучения математики,Using videos and research SMART projects for learning mathematics,Q2,FALSE,82000,,,,,,,,,,,,,,,
27,3,Использование видеороликов и исследовательских SMART проектов для изучения математики,Using videos and research SMART projects for learning mathematics,Q2,FALSE,73800,,,,,,,,,,,,,,,
28,1,Предложения по улучшению подготовки и повышению квалификации преподавателей математики,Proposals for improving the preparation and advanced training of mathematics teachers,Q2,FALSE,57400,,,,,,,,,,,,,,,
28,2,Предложения по улучшению подготовки и повышению квалификации преподавателей математики,Proposals for improving the preparation and advanced training of mathematics teachers,Q2,FALSE,53300,,,,,,,,,,,,,,,
28,3,Предложения по улучшению подготовки и повышению квалификации преподавателей математики,Proposals for improving the preparation and advanced training of mathematics teachers,Q2,FALSE,49200,,,,,,,,,,,,,,,
28,4,Предложения по улучшению подготовки и повышению квалификации преподавателей математики,Proposals for improving the preparation and advanced training of mathematics teachers,Q2,FALSE,45100,,,,,,,,,,,,,,,
28,5,Предложения по улучшению подготовки и повышению квалификации преподавателей математики,Proposals for improving the preparation and advanced training of mathematics teachers,Q2,FALSE,41000,,,,,,,,,,,,,,,
29,1,Исследование острой токсичности наночастиц серебра при внутрибрюшинном введении,Study of acute toxicity of silver nanoparticles with intraperitoneal administration,Q1,TRUE,90200,,,,,,,,,,,,,,,
29,2,Исследование острой токсичности наночастиц серебра при внутрибрюшинном введении,Study of acute toxicity of silver nanoparticles with intraperitoneal administration,Q1,TRUE,82000,,,,,,,,,,,,,,,
29,3,Исследование острой токсичности наночастиц серебра при внутрибрюшинном введении,Study of acute toxicity of silver nanoparticles with intraperitoneal administration,Q1,TRUE,73800,,,,,,,,,,,,,,,
30,1,Субсидирование крупных предприятий с целью повышения их конкурентоспособности на мировом рынке особенности Китая и России,Subsidation of large enterprises in order to increase their competitiveness in the global market Features of China and Russia,Q2,FALSE,90200,,,,,,,,,,,,,,,
30,2,Субсидирование крупных предприятий с целью повышения их конкурентоспособности на мировом рынке особенности Китая и России,Subsidation of large enterprises in order to increase their competitiveness in the global market Features of China and Russia,Q2,FALSE,82000,,,,,,,,,,,,,,,
30,3,Субсидирование крупных предприятий с целью повышения их конкурентоспособности на мировом рынке особенности Китая и России,Subsidation of large enterprises in order to increase their competitiveness in the global market Features of China and Russia,Q2,FALSE,73800,,,,,,,,,,,,,,,
31,1,Перспективы финансового развития Республики Казахстан отечественный и зарубежный опыт,Prospects for the financial development of the Republic of Kazakhstan. Domestic and foreign experience,Q2,FALSE,90200,,,,,,,,,,,,,,,
31,2,Перспективы финансового развития Республики Казахстан отечественный и зарубежный опыт,Prospects for the financial development of the Republic of Kazakhstan. Domestic and foreign experience,Q2,FALSE,82000,,,,,,,,,,,,,,,
31,3,Перспективы финансового развития Республики Казахстан отечественный и зарубежный опыт,Prospects for the financial development of the Republic of Kazakhstan. Domestic and foreign experience,Q2,FALSE,73800,,,,,,,,,,,,,,,
32,1,Диверсификация сельского хозяйства в странах с низким и средним уровнем доходов последствия для продовольственной безопасности,Diversification of agriculture in low- and middle-income countries. Food safety consequences,FALSE,FALSE,57400,,,,,,,,,,,,,,,
32,2,Диверсификация сельского хозяйства в странах с низким и средним уровнем доходов последствия для продовольственной безопасности,Diversification of agriculture in low- and middle-income countries. Food safety consequences,FALSE,FALSE,53300,,,,,,,,,,,,,,,
32,3,Диверсификация сельского хозяйства в странах с низким и средним уровнем доходов последствия для продовольственной безопасности,Diversification of agriculture in low- and middle-income countries. Food safety consequences,FALSE,FALSE,49200,,,,,,,,,,,,,,,
32,4,Диверсификация сельского хозяйства в странах с низким и средним уровнем доходов последствия для продовольственной безопасности,Diversification of agriculture in low- and middle-income countries. Food safety consequences,FALSE,FALSE,45100,,,,,,,,,,,,,,,
32,5,Диверсификация сельского хозяйства в странах с низким и средним уровнем доходов последствия для продовольственной безопасности,Diversification of agriculture in low- and middle-income countries. Food safety consequences,FALSE,FALSE,41000,,,,,,,,,,,,,,,
33,1,Энергетические предприятия в странах с формирующимся рынком политика управления,Energy enterprises in emerging market countries,Q1Q2,FALSE,57400,,,,,,,,,,,,,,,
33,2,Энергетические предприятия в странах с формирующимся рынком политика управления,Energy enterprises in emerging market countries,Q1Q2,FALSE,53300,,,,,,,,,,,,,,,
33,3,Энергетические предприятия в странах с формирующимся рынком политика управления,Energy enterprises in emerging market countries,Q1Q2,FALSE,49200,,,,,,,,,,,,,,,
33,4,Энергетические предприятия в странах с формирующимся рынком политика управления,Energy enterprises in emerging market countries,Q1Q2,FALSE,45100,,,,,,,,,,,,,,,
33,5,Энергетические предприятия в странах с формирующимся рынком политика управления,Energy enterprises in emerging market countries,Q1Q2,FALSE,41000,,,,,,,,,,,,,,,
34,1,Политика государства в области солнечной энергетики мировые перспективы,State policy in the field of solar energy world prospects,Q1Q2,FALSE,57400,,,,,,,,,,,,,,,
34,2,Политика государства в области солнечной энергетики мировые перспективы,State policy in the field of solar energy world prospects,Q1Q2,FALSE,53300,,,,,,,,,,,,,,,
34,3,Политика государства в области солнечной энергетики мировые перспективы,State policy in the field of solar energy world prospects,Q1Q2,FALSE,49200,,,,,,,,,,,,,,,
34,4,Политика государства в области солнечной энергетики мировые перспективы,State policy in the field of solar energy world prospects,Q1Q2,FALSE,45100,,,,,,,,,,,,,,,
34,5,Политика государства в области солнечной энергетики мировые перспективы,State policy in the field of solar energy world prospects,Q1Q2,FALSE,41000,,,,,,,,,,,,,,,
35,1,"Экономический потенциал применения солнечной энергетики в экономике домохозяйств
 Economic Potential of Solar Energy in Household Economics",Economic Potential of Solar Energy in Household Economics,Q3,FALSE,77900,,,,,,,,,,,,,,,
35,2,"Экономический потенциал применения солнечной энергетики в экономике домохозяйств
 Economic Potential of Solar Energy in Household Economics",Economic Potential of Solar Energy in Household Economics,Q3,FALSE,67650,,,,,,,,,,,,,,,
35,3,"Экономический потенциал применения солнечной энергетики в экономике домохозяйств
 Economic Potential of Solar Energy in Household Economics",Economic Potential of Solar Energy in Household Economics,Q3,FALSE,59450,,,,,,,,,,,,,,,
36,1,Перспективы развития нефтяной промышленности в региональной и глобальной экономике,Prospects for the development of the oil industry in the regional and global economy,Q1Q2,FALSE,90200,,,,,,,,,,,,,,,
36,2,Перспективы развития нефтяной промышленности в региональной и глобальной экономике,Prospects for the development of the oil industry in the regional and global economy,Q1Q2,FALSE,82000,,,,,,,,,,,,,,,
36,3,Перспективы развития нефтяной промышленности в региональной и глобальной экономике,Prospects for the development of the oil industry in the regional and global economy,Q1Q2,FALSE,73800,,,,,,,,,,,,,,,
37,1,Новые тенденции исследований в области профессионального образования,New trends in vocational education research,Q2,FALSE,57400,,,,,,,,,,,,,,,
37,2,Новые тенденции исследований в области профессионального образования,New trends in vocational education research,Q2,FALSE,53300,,,,,,,,,,,,,,,
37,3,Новые тенденции исследований в области профессионального образования,New trends in vocational education research,Q2,FALSE,49200,,,,,,,,,,,,,,,
38,1,Развитие лидерства и функциональной компетентности преподавателей мировой опыт,Development of leadership and functional competence of teachers of world experience,Q2,FALSE,57400,,,,,,,,,,,,,,,
38,2,Развитие лидерства и функциональной компетентности преподавателей мировой опыт,Development of leadership and functional competence of teachers of world experience,Q2,FALSE,53300,,,,,,,,,,,,,,,
38,3,Развитие лидерства и функциональной компетентности преподавателей мировой опыт,Development of leadership and functional competence of teachers of world experience,Q2,FALSE,49200,,,,,,,,,,,,,,,
39,1,Образование STEM ключевые проблемы в текущей практике,Education Stem Key problems in current practice,Q2,FALSE,57400,,,,,,,,,,,,,,,
39,2,Образование STEM ключевые проблемы в текущей практике,Education Stem Key problems in current practice,Q2,FALSE,53300,,,,,,,,,,,,,,,
39,3,Образование STEM ключевые проблемы в текущей практике,Education Stem Key problems in current practice,Q2,FALSE,49200,,,,,,,,,,,,,,,
40,1,Формирование среды для быстрого умственного развития учащихся в системе начального образования,Formation of the environment for the rapid mental development of students in the primary education system,Q3,FALSE,57400,,,,,,,,,,,,,,,
40,2,Формирование среды для быстрого умственного развития учащихся в системе начального образования,Formation of the environment for the rapid mental development of students in the primary education system,Q3,FALSE,49200,,,,,,,,,,,,,,,
